,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
42,0.25,5,4,5,62.7,54.0,4.05,4.08,2.55,442.25179861217725
43,0.3,5,5,5,61.0,56.0,4.37,4.35,2.66,664.2715448169167
44,1.26,3,5,8,60.0,60.0,7.04,7.09,4.24,11830.360549094505
45,1.14,5,1,5,61.6,56.0,6.71,6.73,4.14,5249.328580833296
46,1.51,4,3,3,62.8,60.0,7.22,7.14,4.51,9224.515155757172
47,0.51,3,6,2,62.0,57.0,5.09,5.13,3.17,1163.3209577589964
48,0.32,5,4,8,61.0,57.0,4.44,4.48,2.72,883.113063894182
49,0.94,4,6,2,60.4,59.0,6.37,6.34,3.84,3785.0244881996277
50,0.51,4,6,4,60.6,58.0,5.15,5.12,3.11,1669.2717707793902
51,1.12,5,3,2,61.4,56.0,6.69,6.66,4.1,4435.334575419447
52,1.33,4,4,2,60.3,58.0,7.19,7.16,4.33,6507.00499518946
53,0.32,4,3,4,61.7,59.0,4.35,4.4,2.7,571.6499170983344
54,0.7,5,6,4,62.6,57.0,5.63,5.68,3.54,3085.2935092976318
55,1.35,5,3,7,61.9,57.0,7.06,7.09,4.38,11484.120902965939
56,0.23,2,5,4,63.8,57.0,3.93,3.84,2.48,330.675914758358
57,0.9,3,5,1,61.9,59.0,6.16,6.18,3.82,2309.413817436745
58,1.03,5,7,3,61.3,56.0,6.48,6.54,3.99,5818.5081712485135
59,1.02,2,6,2,62.8,64.0,6.36,6.32,3.98,4113.711213875426
60,0.55,5,3,6,61.7,57.0,5.28,5.26,3.25,1967.3321262443421
61,0.34,5,6,8,61.7,56.0,4.46,4.48,2.76,1106.7088879993555
62,0.71,4,7,6,60.0,58.0,5.92,5.84,3.53,3949.0461309015873
63,0.55,2,4,3,63.6,61.0,5.22,5.16,3.3,1396.1205162524616
64,0.54,5,4,4,61.5,55.0,5.24,5.27,3.23,1696.367002768482
65,1.23,5,3,8,61.3,57.0,6.87,6.92,4.23,10285.243504226966
66,0.27,4,6,7,60.6,58.0,4.18,4.2,2.54,659.2757059196094
67,0.53,5,7,4,61.4,56.0,5.18,5.21,3.19,1911.4680078145625
68,1.25,5,4,2,61.1,55.0,6.95,6.99,4.26,5911.693858488384
69,0.34,5,6,6,62.3,57.0,4.48,4.44,2.78,962.6902924433058
70,0.36,4,2,4,62.7,59.0,4.54,4.58,2.86,636.8192008671653
71,0.34,5,4,3,61.2,57.0,4.56,4.53,2.78,618.1727542323108
72,1.12,2,6,3,64.3,57.0,6.56,6.5,4.2,5963.030054701186
73,0.3,5,3,5,61.6,55.0,4.27,4.3,2.64,576.4058938087336
74,0.36,5,7,3,62.0,56.0,4.61,4.55,2.84,803.0699506420724
75,0.71,5,5,7,61.1,54.0,5.78,5.84,3.55,3955.60327591806
76,0.32,4,4,4,62.6,60.0,4.33,4.36,2.72,617.8730541363003
77,0.5,4,6,4,61.3,60.0,5.11,5.07,3.12,1604.9525982506477
78,0.51,3,6,3,63.3,59.0,5.09,5.05,3.21,1408.9480628562776
79,0.58,5,1,5,61.9,58.0,5.31,5.35,3.3,1468.7200504254786
80,0.3,5,5,8,62.5,54.0,4.31,4.33,2.7,831.0526254785078
81,0.39,5,4,7,62.3,57.0,4.7,4.64,2.91,1199.6503897699317
82,0.31,5,5,4,61.8,56.0,4.37,4.33,2.69,634.0317926894452
83,0.9,3,3,5,60.5,63.0,6.13,6.16,3.72,4341.568477834558
84,0.81,4,4,2,61.7,57.0,5.99,5.94,3.68,2553.2649335459137
85,0.7,4,6,2,61.1,61.0,5.74,5.69,3.49,2168.4249128896213
86,0.38,3,1,4,60.5,60.0,4.64,4.68,2.82,568.3531777007739
87,0.71,3,4,3,60.0,59.0,5.76,5.8,3.47,2360.444768676154
88,0.71,3,7,4,63.1,58.0,5.67,5.7,3.59,3149.362548072891
89,0.9,3,3,5,62.1,59.0,6.09,6.14,3.8,4337.728329473101
90,0.74,3,5,2,63.2,58.0,5.75,5.71,3.62,2224.0648240822597
91,1.5,4,3,4,62.4,59.0,7.32,7.29,4.56,10469.023131994443
92,1.5,3,5,3,63.0,55.0,7.27,7.31,4.59,10235.530770539683
93,0.42,5,5,5,61.0,57.0,4.87,4.84,2.96,1251.0645447725935
94,1.01,4,4,4,61.6,58.0,6.45,6.4,3.96,5392.8462371285705
95,2.48,4,2,2,63.0,62.0,8.62,8.58,5.42,17255.689483856462
96,1.02,5,5,6,61.1,56.3,6.48,6.52,3.97,7258.998150716922
97,0.4,5,7,4,61.3,57.0,4.77,4.75,2.92,1124.937700695206
98,0.7,5,5,3,61.3,57.0,5.76,5.79,3.54,2560.639096444231
99,1.01,2,6,4,62.5,58.0,6.32,6.36,3.96,5647.951603547747
100,1.13,3,2,4,60.7,58.0,6.72,6.75,4.09,5361.645201108561
101,1.09,5,2,4,61.9,56.0,6.62,6.67,4.09,5248.642704015718
102,0.7,3,6,4,62.7,58.0,5.65,5.67,3.55,2940.1415703018147
103,1.0,4,5,3,60.8,59.0,6.44,6.38,3.9,4908.38010452044
104,1.52,5,3,4,61.8,54.0,7.42,7.43,4.59,10994.366854701007
105,0.41,5,4,6,62.2,56.0,4.75,4.8,2.97,1224.9000544135292
106,0.43,3,1,4,60.9,59.0,4.86,4.9,2.97,717.1381171943377
107,0.31,3,6,2,60.8,61.0,4.39,4.43,2.68,455.71853220988714
108,0.33,5,4,4,62.2,56.0,4.47,4.44,2.77,670.0945009932486
109,0.7,4,6,4,61.0,59.0,5.74,5.7,3.49,3026.866363795084
110,0.33,5,4,6,62.5,54.0,4.41,4.45,2.77,814.345652689588
111,1.16,4,3,2,62.6,57.0,6.75,6.67,4.2,4629.831264383218
112,0.51,5,6,4,61.8,57.0,5.15,5.14,3.18,1701.7986262761706
113,1.13,2,4,1,63.4,58.0,6.58,6.61,4.18,3202.8223458949847
114,0.52,4,6,4,62.5,60.0,5.1,5.14,3.2,1724.652471644423
115,0.23,3,5,6,61.4,56.0,3.94,3.97,2.43,418.9085823847732
116,0.5,1,5,3,64.7,60.0,4.99,4.84,3.18,1162.0329486413789
117,1.08,3,7,5,60.5,58.0,6.53,6.63,3.98,7753.5234315287225
118,0.3,4,4,5,62.2,59.0,4.31,4.28,2.67,609.645722794988
119,0.48,5,1,5,62.2,54.0,5.01,5.06,3.13,1029.8872798562022
120,1.51,5,1,5,61.6,58.0,7.35,7.43,4.55,8903.280075283461
121,1.03,4,5,2,62.4,59.0,6.45,6.38,4.0,4261.112031160098
122,0.31,3,4,6,63.4,59.0,4.29,4.26,2.71,687.7267738335912
123,0.4,5,4,8,62.3,55.0,4.74,4.76,2.96,1342.6911126601929
124,1.03,5,6,4,61.7,56.0,6.45,6.54,4.01,6396.434297967361
125,1.16,4,1,3,62.5,58.0,6.73,6.67,4.19,4148.214184383279
126,1.04,3,1,2,62.8,57.0,6.44,6.5,4.06,2706.757058331469
127,0.71,4,6,4,61.5,60.0,5.76,5.68,3.52,3104.943094915649
128,0.29,3,3,6,61.2,56.0,4.26,4.29,2.61,562.8637082670601
129,1.09,5,4,2,61.2,57.0,6.68,6.63,4.07,4562.943103460926
130,0.74,5,5,5,62.3,56.0,5.76,5.79,3.6,3628.388198234657
131,0.42,5,7,4,62.4,55.0,4.82,4.8,3.0,1232.144406301202
132,0.54,5,2,3,62.0,55.0,5.21,5.25,3.24,1218.7798340493812
133,0.51,5,6,4,62.6,55.0,5.08,5.11,3.19,1701.2057643136854
134,1.01,4,5,2,58.8,61.0,6.53,6.46,3.82,4127.2774926613565
135,1.0,4,3,4,59.4,61.0,6.51,6.46,3.85,4898.890179705968
136,1.02,4,3,4,61.0,60.0,6.5,6.46,3.95,5073.828042259541
137,0.73,2,6,5,60.8,61.0,5.77,5.8,3.52,3416.03297310747
138,1.01,4,3,2,60.3,59.0,6.51,6.45,3.91,3577.3186223239973
139,0.33,2,7,3,63.1,55.0,4.38,4.4,2.77,625.1504983325376
140,1.22,5,5,5,62.3,57.0,6.79,6.83,4.24,9296.681911340167
141,0.31,5,7,5,62.0,54.0,4.35,4.36,2.7,775.0161975742409
142,1.07,4,4,3,60.5,62.0,6.69,6.6,4.02,5237.183969851797
143,1.01,3,6,6,60.2,60.0,6.46,6.5,3.9,7144.850067068103
144,0.23,3,5,8,59.5,58.0,4.0,4.03,2.39,481.95609174473
145,0.35,3,7,5,60.9,58.0,4.54,4.56,2.77,928.6439193371381
146,0.55,5,5,6,60.7,56.0,5.31,5.34,3.23,2270.7851806703648
147,0.9,5,4,3,61.9,59.0,6.16,6.19,3.82,3856.757752149313
148,0.72,5,4,7,62.2,57.0,5.72,5.75,3.57,3805.8996014529066
149,0.83,3,6,3,63.5,58.0,5.93,5.98,3.78,3525.1854888164107
150,1.04,5,3,3,61.9,57.0,6.49,6.46,4.01,4680.0881399388245
151,0.71,3,6,4,59.9,59.0,5.77,5.81,3.47,3032.0360998426977
152,0.43,5,5,3,61.3,56.0,4.9,4.86,2.99,1023.4976882300798
153,0.33,5,6,4,61.3,55.0,4.46,4.48,2.74,751.1010216122555
154,1.72,1,7,2,64.6,58.0,7.53,7.46,4.84,10761.608882935398
155,1.13,5,4,3,61.8,55.0,6.71,6.75,4.16,5931.550557492878
156,0.52,5,7,3,62.4,56.0,5.12,5.17,3.21,1603.8550342741703
157,0.3,3,4,5,62.5,55.0,4.25,4.32,2.68,594.3193638507322
158,1.53,4,4,5,61.0,60.0,7.43,7.4,4.52,13120.482627366899
159,2.02,1,3,2,56.5,61.0,8.33,8.37,4.72,11659.459911375514
160,0.33,4,3,5,61.0,59.0,4.5,4.45,2.73,674.9465128547725
161,0.7,3,4,1,61.5,63.0,5.73,5.65,3.5,1351.2156473582281
162,1.26,4,2,3,60.5,62.0,6.97,6.92,4.2,5880.836666137958
163,0.3,4,7,4,62.5,59.0,4.28,4.23,2.66,639.215015991819
164,0.59,3,3,5,62.1,55.0,5.37,5.41,3.35,1962.2671493156058
165,0.82,5,6,3,62.1,55.0,5.98,6.0,3.72,3626.4883686897615
166,0.39,3,4,6,60.7,61.0,4.7,4.73,2.86,1063.2389573395678
167,0.31,5,3,8,62.1,54.0,4.33,4.37,2.7,767.9210271713458
168,1.26,5,2,2,62.0,56.0,7.0,6.94,4.32,4944.072127802751
169,1.51,3,5,2,62.7,60.0,7.25,7.32,4.57,8517.297511071261
170,0.56,5,4,5,60.6,56.0,5.33,5.36,3.24,2023.8385076312045
171,0.31,5,4,7,62.5,55.0,4.34,4.33,2.71,779.1033883268517
172,0.56,5,3,6,60.9,57.0,5.38,5.33,3.26,2037.8441350463559
173,0.96,4,6,2,58.2,58.0,6.52,6.47,3.78,3954.271560880989
174,0.52,3,6,3,62.7,57.0,5.1,5.14,3.21,1464.0902435934297
175,1.02,3,3,3,63.5,55.0,6.31,6.35,4.02,4295.531404440858
176,1.06,2,2,5,57.5,62.0,6.71,6.83,3.9,5112.906165571261
177,1.21,5,3,3,62.1,59.0,6.81,6.75,4.21,6216.248779221078
178,2.02,1,3,4,64.5,57.0,8.0,7.95,5.14,16075.527499375037
179,1.52,5,4,4,62.1,56.0,7.39,7.34,4.57,11888.675646275819
180,2.03,3,2,2,62.8,59.0,8.04,8.08,5.06,11541.569292493343
181,0.28,2,5,6,61.2,62.0,4.16,4.21,2.56,582.8617341999654
182,0.7,1,4,5,65.8,61.0,5.61,5.46,3.64,2624.480175661142
183,0.7,5,4,7,62.3,57.0,5.61,5.65,3.51,3608.720126194198
184,2.32,1,3,1,70.5,55.0,7.93,7.9,5.58,10645.533961790705
185,0.58,5,1,4,60.9,57.0,5.38,5.4,3.28,1322.3431719756113
186,0.54,5,7,5,61.6,54.0,5.24,5.25,3.23,2204.995046746694
187,1.2,3,2,3,62.9,54.0,6.75,6.77,4.25,5221.380684604113
188,0.52,3,5,4,62.4,57.0,5.12,5.13,3.2,1598.7944931715303
189,1.57,4,5,2,60.2,60.0,7.49,7.43,4.49,9452.50181221882
190,0.7,4,2,1,62.3,58.0,5.69,5.55,3.51,1146.6240176622034
191,1.57,3,3,3,62.0,60.0,7.4,7.44,4.6,9676.487695549147
192,1.02,3,7,4,63.2,58.0,6.4,6.36,4.03,6228.746272687483
193,1.5,4,5,4,62.4,57.0,7.38,7.29,4.58,12069.574290220029
194,0.7,3,6,5,62.7,60.0,5.59,5.64,3.52,3269.4634189964677
195,0.42,4,5,3,60.6,58.0,4.89,4.81,2.94,959.2201586558457
196,2.01,4,3,3,60.0,60.0,8.16,8.13,4.89,15877.464150596385
197,0.31,4,4,5,62.2,58.0,4.38,4.34,2.71,648.7557161141207
198,0.44,5,6,6,61.9,56.0,4.91,4.88,3.03,1565.983573401829
199,0.7,5,7,6,61.7,55.0,5.73,5.75,3.54,3920.2842076158063
200,1.2,4,1,3,60.0,61.0,6.89,6.84,4.12,4433.714760748219
201,1.05,5,4,5,62.2,57.0,6.49,6.51,4.04,6589.790402521233
202,0.7,5,5,1,62.1,57.0,5.67,5.64,3.52,1509.787021468758
203,0.53,4,5,3,60.9,59.0,5.21,5.23,3.18,1485.0107638271948
204,1.09,4,3,2,61.2,62.0,6.63,6.58,4.04,4118.10665063811
205,0.92,4,6,2,61.8,59.0,6.19,6.11,3.8,3626.607848119565
206,0.71,4,5,4,58.0,62.0,5.85,5.81,3.38,2966.773003693165
207,0.57,2,5,2,61.9,57.7,5.32,5.34,3.3,1312.9972064972253
208,0.71,3,4,4,63.5,59.0,5.67,5.63,3.59,2694.612747214796
209,0.89,4,4,3,61.1,58.0,6.24,6.17,3.79,3705.1708366922603
210,1.06,5,4,3,62.9,56.0,6.52,6.49,4.09,5247.097959779756
211,0.86,4,3,2,61.0,58.0,6.15,6.12,3.74,2641.1341142754577
212,1.1,4,4,4,60.2,58.0,6.75,6.71,4.05,6347.494018198875
213,0.7,5,6,3,62.5,57.0,5.7,5.72,3.57,2688.0137979348074
214,1.04,4,4,5,61.5,61.0,6.56,6.51,4.02,6334.977219531615
215,0.93,4,6,1,62.3,60.0,6.23,6.2,3.87,2650.9509991083637
216,1.1,4,5,1,59.8,61.0,6.7,6.65,3.99,3470.0357010831726
217,2.12,4,3,2,62.3,58.0,8.25,8.16,5.12,14409.351584033342
218,0.33,5,5,7,62.4,55.0,4.44,4.47,2.78,932.4112955826902
219,0.9,1,2,4,65.8,55.0,6.05,6.01,3.97,3132.5682759437072
220,0.71,5,6,5,62.0,57.0,5.72,5.66,3.53,3530.1751111949698
221,1.75,5,4,4,62.1,57.0,7.73,7.69,4.79,15493.629089948563
222,0.81,5,3,3,61.4,56.0,6.0,6.05,3.7,2927.004961324689
223,0.75,2,2,7,63.9,61.0,5.7,5.67,3.63,3101.271791451999
224,0.4,5,4,4,62.6,56.0,4.69,4.74,2.95,961.97354110742
225,0.34,5,4,4,62.1,55.0,4.49,4.46,2.78,709.2798206236273
226,0.35,4,5,4,61.8,58.0,4.48,4.52,2.78,779.699482333632
227,1.29,3,2,4,62.8,58.0,6.89,6.93,4.34,6856.822468690003
228,1.7,4,4,3,61.7,58.0,7.69,7.6,4.72,12519.061289643189
229,1.01,4,5,3,62.7,54.0,6.42,6.37,4.01,4997.435889722755
230,0.47,2,7,3,63.8,59.0,4.9,4.88,3.12,1213.0966443838352
231,0.71,4,6,3,59.2,59.0,5.86,5.83,3.46,2716.0812503036163
232,1.01,5,4,5,61.3,56.0,6.49,6.44,3.96,6136.710706824395
233,0.92,2,1,2,59.0,63.0,6.3,6.35,3.73,2076.586830981592
234,0.31,5,5,7,61.6,55.0,4.36,4.41,2.7,829.9235604114714
235,0.3,5,4,7,61.3,56.0,4.3,4.34,2.65,733.5206625449691
236,0.7,3,4,3,62.1,58.0,5.66,5.7,3.53,2291.4560975750483
237,1.01,4,3,8,62.1,59.0,6.47,6.41,4.0,6935.9610805552875
238,1.5,3,3,2,62.5,60.0,7.25,7.32,4.55,7304.763707238208
239,0.9,3,7,5,62.2,58.0,6.14,6.18,3.83,5485.636874009383
240,0.23,2,5,6,62.8,61.0,3.92,3.95,2.47,401.5981265550766
241,0.25,2,6,6,58.0,65.0,4.13,4.18,2.41,497.26141554185705
242,0.35,5,5,6,62.1,56.0,4.56,4.52,2.82,967.4118316565056
243,0.73,3,7,2,60.4,59.0,5.8,5.86,3.52,2389.0015753650864
244,0.4,3,4,8,61.2,57.0,4.77,4.79,2.92,1281.3708503036003
245,0.3,5,6,4,61.5,55.0,4.33,4.29,2.65,627.5145861733831
246,1.01,4,1,6,62.7,59.0,6.46,6.39,4.03,4453.603330180126
247,0.51,5,7,2,62.5,55.0,5.12,5.15,3.21,1273.3524559007335
248,1.72,4,5,1,60.1,58.0,7.77,7.74,4.66,8057.615311424666
249,0.51,2,6,3,64.3,54.0,5.1,5.07,3.27,1357.7266320042384
250,0.7,5,6,5,62.2,58.0,5.67,5.71,3.54,3434.5082472392705
251,0.52,2,3,4,63.6,57.0,5.05,5.1,3.23,1334.0551216111128
252,1.01,4,5,2,62.2,59.0,6.41,6.38,3.98,4107.965760726299
253,0.31,5,5,4,62.1,57.0,4.34,4.36,2.7,633.4394197067361
254,1.01,2,4,3,63.6,57.0,6.33,6.37,4.04,4392.06459137506
255,1.24,2,6,3,63.5,55.0,6.82,6.86,4.35,7238.21404663034
256,1.01,3,2,3,60.1,59.0,6.44,6.47,3.88,3782.6687384894335
257,1.05,5,4,4,61.9,57.0,6.47,6.51,4.03,5923.6698419576705
258,0.9,2,4,3,63.7,60.0,6.11,6.07,3.88,3529.6961862460485
259,0.56,5,6,4,61.6,57.0,5.3,5.32,3.27,2030.1267136419442
260,0.8,3,5,3,61.6,56.0,5.96,6.0,3.68,3139.500995551436
261,0.3,5,7,3,62.5,57.0,4.32,4.29,2.69,569.0191145674645
262,0.76,5,3,4,62.7,57.0,5.82,5.86,3.66,2972.761602574733
263,1.21,4,3,3,59.8,58.0,6.95,6.9,4.14,6113.798435318991
264,1.51,3,1,5,61.4,57.0,7.3,7.38,4.51,8496.095514315346
265,1.21,5,3,6,61.3,56.0,6.85,6.89,4.21,8691.088408465635
266,0.7,5,5,3,61.5,57.0,5.67,5.74,3.51,2559.8157199640405
267,0.53,5,2,4,62.2,56.0,5.15,5.2,3.22,1349.6909239753716
268,0.46,5,6,5,61.9,55.0,4.94,4.97,3.06,1560.8229379284048
269,0.41,5,4,8,61.7,56.0,4.79,4.81,2.96,1407.2792183944703
270,0.37,3,5,4,61.0,58.0,4.61,4.63,2.82,843.892925302487
271,0.58,5,5,2,60.9,57.0,5.4,5.44,3.3,1480.429522521195
272,0.72,4,5,3,59.5,62.0,5.85,5.74,3.45,2646.6252316778878
273,1.5,2,4,3,58.4,65.0,7.45,7.41,4.34,9295.355191036004
274,1.31,3,3,4,61.4,59.0,6.96,7.01,4.29,7910.678866991608
275,1.0,3,7,3,62.1,58.0,6.34,6.45,3.97,5236.335022904014
276,0.41,4,4,7,60.3,60.0,4.78,4.74,2.87,1293.437492864245
277,0.38,5,5,7,61.0,57.0,4.67,4.71,2.86,1217.698822009184
278,0.35,4,6,7,60.7,59.0,4.58,4.55,2.77,1074.0052420960735
279,0.3,4,7,4,61.7,58.0,4.32,4.3,2.66,640.3108823839196
280,1.13,5,2,5,61.6,54.0,6.72,6.74,4.15,6260.6669943353445
281,0.37,4,6,6,60.9,59.0,4.61,4.65,2.82,1107.1081614156615
282,0.39,4,4,6,60.7,61.0,4.73,4.7,2.86,1092.116014222472
283,0.5,2,7,3,63.9,56.0,5.02,4.93,3.18,1364.6091052567037
284,0.31,5,6,4,61.5,56.0,4.39,4.42,2.71,667.1662854246301
285,1.72,2,7,2,63.4,62.0,7.53,7.59,4.79,11480.864476186112
286,1.27,5,3,3,59.8,57.0,7.08,7.01,4.22,6840.797488502269
287,1.0,2,7,4,62.8,61.0,6.31,6.34,3.97,5774.476603888315
288,1.59,4,2,4,59.9,60.0,7.61,7.57,4.55,10480.499322933349
289,0.38,3,5,4,60.9,56.0,4.67,4.72,2.86,888.2953783240099
290,2.39,5,1,5,62.1,57.0,8.53,8.57,5.31,21128.635103106604
291,1.01,4,5,3,62.2,59.0,6.36,6.41,3.97,4989.975343630979
292,0.31,4,3,7,62.6,58.0,4.33,4.29,2.7,703.6004330551827
293,2.05,5,1,5,61.8,58.0,8.12,8.16,5.03,15827.258423777968
294,0.7,2,5,3,61.1,61.0,5.68,5.71,3.48,2347.799400091638
295,1.01,1,2,1,56.1,63.0,6.7,6.65,3.74,2026.2667262125644
296,1.55,3,3,4,63.3,56.0,7.38,7.32,4.65,10840.543651081778
297,0.33,4,6,7,59.7,58.0,4.49,4.52,2.69,963.3775169334006
298,1.51,4,6,3,62.9,62.0,7.31,7.21,4.57,11164.04986769915
299,0.26,3,7,6,59.1,59.0,4.21,4.28,2.51,580.5852055753787
300,1.01,4,7,3,59.8,54.0,6.6,6.5,3.93,5510.874865783385
301,0.42,3,7,3,60.2,57.0,4.85,4.89,2.93,1026.1290532961063
302,1.03,4,3,1,62.9,59.0,6.41,6.3,4.0,2650.7953452107067
303,1.57,5,2,2,62.6,58.0,7.38,7.41,4.63,7466.937571268965
304,1.01,3,4,5,63.1,55.0,6.34,6.37,4.01,5837.563652179093
305,2.51,4,1,2,59.3,58.0,8.87,8.83,5.25,14682.266554145175
306,0.7,3,7,3,63.2,55.0,5.62,5.65,3.56,2674.3455104162917
307,0.95,5,4,4,61.6,56.0,6.34,6.3,3.89,4910.882161042627
308,0.32,5,6,2,62.7,55.0,4.39,4.42,2.76,507.1810961649792
309,1.25,4,1,2,62.3,59.0,6.82,6.86,4.26,3930.399745652274
310,2.26,4,2,2,62.0,58.0,8.4,8.37,5.2,14534.719150805988
311,0.28,5,4,8,60.9,57.0,4.24,4.27,2.59,686.9077688035259
312,1.52,5,2,3,61.4,57.0,7.4,7.43,4.55,8554.091619434721
313,0.4,2,7,5,56.3,59.0,4.94,4.97,2.79,1158.2728493162513
314,1.7,3,5,2,63.4,57.0,7.54,7.57,4.79,10649.09636112945
315,2.01,2,1,2,63.4,59.0,7.95,7.99,5.05,8995.898676919467
316,0.3,5,7,4,62.2,54.0,4.31,4.28,2.67,654.443973397644
317,0.55,3,6,4,61.6,60.0,5.23,5.27,3.23,1868.7441129501476
318,0.33,4,6,7,59.7,58.0,4.52,4.49,2.69,963.3775169334006
319,1.16,5,4,6,62.0,56.0,6.75,6.71,4.17,8682.775040771845
320,1.51,3,1,3,62.9,59.0,7.25,7.29,4.57,6627.907855461349
321,0.29,5,5,5,61.6,56.0,4.26,4.31,2.64,622.5937422065207
322,0.7,3,6,5,63.4,57.0,5.63,5.67,3.58,3270.20596798028
323,0.39,4,3,2,61.2,58.0,4.51,6.02,4.44,595.6991352700667
324,0.52,5,6,4,61.2,56.0,5.2,5.16,3.17,1767.677024163228
325,2.17,4,3,3,59.9,61.0,8.39,8.38,5.02,18335.674622606093
326,1.37,5,3,5,63.8,56.0,7.01,6.98,4.46,10021.362138806271
327,0.3,3,5,7,61.0,57.0,4.33,4.36,2.65,744.0129964716643
328,1.06,4,7,2,61.6,61.0,6.59,6.53,4.04,4938.802617860507
329,0.32,5,6,7,60.9,57.0,4.42,4.45,2.7,926.8366110423273
330,0.32,4,4,4,61.0,59.0,4.42,4.46,2.71,619.723195791792
331,0.2,4,7,4,61.7,60.0,3.77,3.72,2.31,298.16963534713
332,0.7,5,3,4,61.1,57.0,5.71,5.74,3.5,2552.8343021293995
333,0.53,5,6,5,61.5,57.0,5.22,5.25,3.22,2037.3172324335699
334,0.71,5,2,7,62.4,55.0,5.69,5.76,3.57,3061.7486163549934
335,1.16,5,4,7,61.9,55.0,6.75,6.78,4.19,9355.00979939168
336,1.01,4,6,3,59.2,60.0,6.56,6.51,3.87,5271.620529551517
337,0.4,5,4,6,62.6,53.0,4.72,4.77,2.97,1170.1770939538017
338,1.51,2,5,2,62.9,55.0,7.22,7.28,4.56,8217.45683488056
339,1.04,3,2,2,61.6,58.0,6.47,6.58,4.02,3283.9422198001453
340,0.37,5,2,3,60.7,60.0,4.6,4.62,2.8,598.0196423761212
341,0.37,4,5,4,60.5,59.0,4.62,4.67,2.81,867.1348301194151
342,0.64,2,3,5,61.8,60.3,5.47,5.53,3.4,2198.1050280451655
343,2.01,3,2,3,60.8,60.0,8.12,8.15,4.95,13798.753288095466
344,1.29,5,4,4,62.5,57.0,6.89,6.92,4.35,8719.70609709399
345,1.01,3,4,6,63.4,55.0,6.41,6.34,4.04,6368.127764668553
